company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
National Institute of Ocean Technology,Conducting Bathymetry Survey along the Tamil Nadu Coast,Tamil Nadu Coast,India,Academia & Research,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2023,,Conducting Bathymetry Survey along the Tamil Nadu Coast,10.9416,79.8485
GAIL India Limited,Side scan sonar survey in rivers at pipeline crossings of DBPL pipeline including SPUR lines,Not specified,India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-06-2023,,Side scan sonar survey in rivers at pipeline crossings of DBPL pipeline including SPUR lines,19.076,72.8777
Zenith Survey ( ) Pvt. Ltd.,Hiring of survey equipment and manpower,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2023,,Hiring of survey equipment and manpower,19.076,72.8777
DNOCS Limited,Services for test/trial of multibeam Echosounder - Payra Port Authority,Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-05-2023,,Services for test/trial of multibeam Echosounder - Payra Port Authority,21.95,90.3
International Seaport Dredging,Provision of Multibeam set with operator,Not specified,India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-04-2023,,Provision of Multibeam set with operator,19.076,72.8777
EGS (Asia) Limited,Provision of Personnel Support onboard Ocean Invincible for RAMAN Project,RAMAN,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2023,,Provision of Personnel Support onboard Ocean Invincible for RAMAN Project,19.076,72.8777
Amphibia Consultants Pvt. Ltd.,RAMAN Fiber Optic Cable System,RAMAN,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2023,,RAMAN Fiber Optic Cable System,19.076,72.8777
SAExploration Inc-Marine,Navigation Calibration of two vessels Nand Sarthi and Parasea,Not specified,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2023,,Navigation Calibration of two vessels Nand Sarthi and Parasea,19.076,72.8777
Zenith Survey (1) Pvt Ltd.,Not specified,RAMAN,India,Survey & Geoscience Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-03-2023,,Not specified,19.076,72.8777
SAExploration Inc-Marine,Service of Survey Engineer for shallow water hazard survey at Hazira,Not specified,India,Oil & Gas,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-02-2023,,Service of Survey Engineer for shallow water hazard survey at Hazira,21.1,72.7
EGS (Asia) Limited,Provision of Personnel Support onboard Ocean Invincible (KSA),Not specified,Saudi Arabia,Submarine Cable Contractors,Middle East,Bathymetry Survey,Bathymetry Survey; Submarine Cable Route Surveys,01-02-2023,,Provision of Personnel Support onboard Ocean Invincible (KSA),23.8859,45.0792
SAExploration Inc-Marine,Provision of Single Beam System and Operators at Kakinada,Not specified,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,,Provision of Single Beam System and Operators at Kakinada,16.9891,82.2475
International Seaport Dredging,Provision of Multibeam System and Operators at Kakinada,Not specified,India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,,Provision of Multibeam System and Operators at Kakinada,16.9891,82.2475
Gujarat Pipavav Port Ltd.,Bathymetric Survey for Maintenance Dredging works at Gujarat Pipavav Port Limited (APM Terminals Pipavav),Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-01-2023,,Bathymetric Survey for Maintenance Dredging works at Gujarat Pipavav Port Limited (APM Terminals Pipavav),20.9083,71.4556
Lightstorm Telecom Connectivity Private Limited,"Desktop Study including site visits at Mahuva, Daman and Alibaug site",Not specified,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-01-2023,,"Desktop Study including site visits at Mahuva, Daman and Alibaug site",21.1,71.8
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels,Not specified,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-11-2022,,DGPS and GYRO verification for 3 vessels,19.076,72.8777
DNOCS Limited / OMC Bangladesh,Services for Test / Trial and Training of Multibeam Echo Sounder,Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-11-2022,,Services for Test / Trial and Training of Multibeam Echo Sounder,19.076,72.8777
Adani Port & Special Economic Zone Ltd.,Mundra Intake Outfall Study,Not specified,India,"Ports, Shipyards & Harbours",Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-10-2022,,Mundra Intake Outfall Study,22.7754,69.7158
Sati Drugs & Surgicals,"Training for Side Scan Sonar PULSAR at Fire & Emergency Services, Assam, Guwahati",Not specified,India,Industrial & Materials,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-08-2022,,"Training for Side Scan Sonar PULSAR at Fire & Emergency Services, Assam, Guwahati",26.1445,91.7362
Petronet LNG,Bathymetry Survey at Dahej,Not specified,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2022,,Bathymetry Survey at Dahej,21.7,72.6
EGS (Asia) Ltd.,Provision of Survey Personnel Support for Israel Landfall Survey and Reporting,Not specified,Israel,Submarine Cable Contractors,Middle East,Submarine Cable Route Surveys AND Bathymetry Survey,Submarine Cable Route Surveys; Bathymetry Survey,01-07-2022,,Provision of Survey Personnel Support for Israel Landfall Survey and Reporting,31.0461,34.8516
EGS (Asia) Ltd.,Provision of Personnel Support onboard Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2022,,Provision of Personnel Support onboard Northern Endeavour,1.3521,103.8198
Atlantis Consultancy / Lightstorm,"Mini DTS at Versova Mumbai, Mandvi, Kochi, Digha, Chennai and Machlipatnam","Versova Mumbai, Mandvi, Kochi, Digha, Chennai, Machlipatnam",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-07-2022,,"Mini DTS at Versova Mumbai, Mandvi, Kochi, Digha, Chennai and Machlipatnam",19.076,72.8777
Atlantis Consultancy/Lightstorm,Not specified,Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2022,,Not specified,19.076,72.8777
EGS (Asia) Ltd.,Site visits for SMW6 cable project in India (Mumbai and Chennai),Mumbai and Chennai,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-03-2022,,Site visits for SMW6 cable project in India (Mumbai and Chennai),19.076,72.8777
Shree Krishna Stevedores Pvt Ltd.,Search Survey of sunken vessel Shree Krishna VIII off Goa,GOA,India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-02-2022,,Search Survey of sunken vessel Shree Krishna VIII off Goa,15.2993,73.938
Tata Communications Transformations Services Limited,Selection of Independent Monitoring Agency for Submarine Optical Fibre Cable Project for Kochi Lakshadweep Islands,Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-12-2021,,Selection of Independent Monitoring Agency for Submarine Optical Fibre Cable Project for Kochi Lakshadweep Islands,10.56,72.64
EGS Asia Ltd,Support services on vessel Northern Endeavour for IAX/LEX project,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2021,,Support services on vessel Northern Endeavour for IAX/LEX project,19.076,72.8777
Amphibia Consultants Pvt. Ltd.,"Marine Route Survey for Submarine Fibre Optic Cable System Projects, at West Coast and East Coast of India",Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2021,,"Marine Route Survey for Submarine Fibre Optic Cable System Projects, at West Coast and East Coast of India",19.076,72.8777
Atlantis Consultants Pvt. Ltd.,Mumbai (Juhu and Versova) site visit for Desktop Study,Not specified,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-11-2021,,Mumbai (Juhu and Versova) site visit for Desktop Study,19.076,72.8777
Petronet LNG Limited (Dahej),Bathymetry Survey at Dahej Topography Work at GCW and Topography & Marine Survey Work at Jafrabad,Dahej,India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2021,,Bathymetry Survey at Dahej Topography Work at GCW and Topography & Marine Survey Work at Jafrabad,21.7,72.6
UltraTech Cement Limited,Bathymetry Survey at Dahej,Jafrabad,India,Industrial & Materials,Asia,Topographic Survey,Topographic Survey,01-09-2021,,Bathymetry Survey at Dahej,20.87,71.37
SARK EPC Projects Pvt. Ltd,Offshore CPL survey on Uran Mandwa pipeline for GAIL Mumbai Project,Mumbai Project,India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-09-2021,,Offshore CPL survey on Uran Mandwa pipeline for GAIL Mumbai Project,18.85,72.93
The Shipping Corporation of India Limited,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,Not specified,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-08-2021,,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,19.076,72.8777
EGS (Asia) Ltd.,RAMAN - Site visit in Mumbai,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2021,,RAMAN - Site visit in Mumbai,19.076,72.8777
Zenith Survey (1) Pvt. Ltd.,Geophysical and Bathymetric Survey at Omkareshwar site in Madhya Pradesh,Not specified,India,Survey & Geoscience Contractors,Asia,Geophysical Survey AND Bathymetric Survey,Geophysical Survey; Bathymetry Survey,01-05-2021,,Geophysical and Bathymetric Survey at Omkareshwar site in Madhya Pradesh,22.25,76.15
GeoAcoustics Ltd.,To complete SAT on GeoPulse+ System on NIOT Vessel Sagar Anveshika,Not specified,India,Marine Technology & Equipment,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2021,,To complete SAT on GeoPulse+ System on NIOT Vessel Sagar Anveshika,19.076,72.8777
Sapura Engineering & Construction (India) Pvt. Ltd.,Barge Positioning & Survey System (Jamnagar),Not specified,India,Engineering & Construction,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-12-2020,,Barge Positioning & Survey System (Jamnagar),22.4707,70.0577
Dahej Harbour Infrastructure Limited,"Bathymetric Survey for DHIL Jetty during Pre, Interim and Post Dredging",Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-12-2020,,"Bathymetric Survey for DHIL Jetty during Pre, Interim and Post Dredging",21.7,72.6
Narmada Water Resources,Conducting Bathymetric Survey of Reservoirs of Saurashtra Region under National Hydrology Project,Not specified,India,"Government, Defence & Public Sector",Asia,Bathymetry survey,Bathymetry Survey,01-12-2020,,Conducting Bathymetric Survey of Reservoirs of Saurashtra Region under National Hydrology Project,22.3,70.8
Atlantis Consultancy,Site visit supervision of IAX/IEX - Malaysia,Not specified,Malaysia,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2020,,Site visit supervision of IAX/IEX - Malaysia,4.2105,101.9758
Dredging Corporation of India Limited,Provision of Surveyor to act as DCI Rep for ongoing survey works at JNPT,"JNPT, MUMBAI",India,"Government, Defence & Public Sector",Asia,Topographic Survey,Topographic Survey,01-09-2020,,Provision of Surveyor to act as DCI Rep for ongoing survey works at JNPT,18.95,72.95
Atlantis Consultancy,Site visit supervision of IAX/IEX - Mumbai and Chennai,Mumbai and Chennai,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2020,,Site visit supervision of IAX/IEX - Mumbai and Chennai,19.076,72.8777
Vedanta Limited,Geophysical Survey,Not specified,India,Oil & Gas,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-09-2020,,Site visit supervision of IAX/IEX -,19.076,72.8777
Petronet LNG Limited (Dahej),Bathymetry Survey at Dahej,"Dahej, Gujarat",India,Oil & Gas,Asia,Bathymetry survey,Bathymetry Survey,01-06-2020,,Bathymetry Survey at Dahej,21.7,72.6
Sapura Engineering & Construction (India) Pvt. Ltd.,"Provision of As built Survey for 42"" Pipeline, 4"" FOC, Bathymetry Survey (including boat) & Topography Survey",Not specified,India,Engineering & Construction,Asia,Bathymetry survey AND Topography Survey,Bathymetry Survey; Topographic Survey,01-02-2020,,"Provision of As built Survey for 42"" Pipeline, 4"" FOC, Bathymetry Survey (including boat) & Topography Survey",19.076,72.8777
NEC Technologies India Pvt. Ltd.,Feasibility study of Mumbai - Hulu Male cable route,Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,,Feasibility study of Mumbai - Hulu Male cable route,19.076,72.8777
Gujarat Pipavav Port Limited,Pre and Post Dredging Bathymetry survey at APM Terminals Pipavav,Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-02-2020,,Pre and Post Dredging Bathymetry survey at APM Terminals Pipavav,20.9083,71.4556
A to Z AXIM,Bathymetry Survey at Sittwe Port Myanmar,Not specified,Myanmar,Survey & Geoscience Contractors,Asia,Bathymetry survey,Bathymetry Survey,01-02-2020,,Bathymetry Survey at Sittwe Port Myanmar,20.1471,92.8996
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""Ridley Thomas""",Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,,"Provision of Personnel Support onboard vessel ""Ridley Thomas""",19.076,72.8777
Bharti Airtel Ltd.,EIG Submarine Cable Survey at Versova,Not specified,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2020,,EIG Submarine Cable Survey at Versova,19.135,72.815
FCG ANZDEC Limited,Sustainable Coastal Protection & Management Investment Program Tranche 2 - Third-party Inspection / Divine: Under Water photography and video recordings of the progress of Someshwara offshore reef construction works,Not specified,India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2020,,Sustainable Coastal Protection & Management Investment Program Tranche 2 - Third-party Inspection / Divine: Under Water photography and video recordings of the progress of Someshwara offshore reef construction works,12.7933,74.8633
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""Ridley Thomas""",Not specified,Singapore,Submarine Cable Contractors,Asia,Route Surveys,Submarine Cable Route Surveys,01-01-2020,,"Provision of Personnel Support onboard vessel ""Ridley Thomas""",1.3521,103.8198
New Horizon Surveys India Private Limited,"ADCP Observation at Kashid Site, Maharashtra",Maharashtra,India,Survey & Geoscience Contractors,Asia,Bathymetry survey,Bathymetry Survey,01-01-2020,,"ADCP Observation at Kashid Site, Maharashtra",18.423,72.906
Cairn India Ltd.,Vessel Positioning Services for Ravva Field,Not specified,India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2020,,Vessel Positioning Services for Ravva Field,16.37,82.33
Gujarat Pipavav Port Limited,Bathymetry survey at APM Terminals Pipavav,Not specified,India,"Ports, Shipyards & Harbours",Asia,Bathymetry survey,Bathymetry Survey,01-12-2019,,Bathymetry survey at APM Terminals Pipavav,20.9083,71.4556
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2019,,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",1.3521,103.8198
New Horizon Surveys India Private Limited,"Bathymetry survey, Geophysical survey, Metocean Observations and sample collections and analysis at Chhara LNG Terminal",Not specified,India,Survey & Geoscience Contractors,Asia,"Bathymetry survey, Geophysical survey AND GEOTECHNICAL SERVICES",Bathymetry Survey; Geophysical Survey; Geotechnical Services,01-11-2019,,"Bathymetry survey, Geophysical survey, Metocean Observations and sample collections and analysis at Chhara LNG Terminal",20.78,71.04
EGS (Asia) Ltd.,Provision of Personnel Support to carry out landfall survey in Philippines,Philippines,Philippines,Submarine Cable Contractors,Asia,Topographic Survey,Topographic Survey; Submarine Cable Route Surveys,01-10-2019,,Provision of Personnel Support to carry out landfall survey in Philippines,12.8797,121.774
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-10-2019,,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",1.3521,103.8198
Atlantis Consultancy,DTS of BMH locations in Mumbai and Chennai,Chennai,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-10-2019,,DTS of BMH locations in Mumbai and Chennai,13.0827,80.2707
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""Northern Endeavour""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2019,,"Provision of Personnel Support onboard vessel ""Northern Endeavour""",1.3521,103.8198
EGS (Asia) Ltd.,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2019,,"Provision of Personnel Support onboard vessel ""EGS Surveyor""",1.3521,103.8198
EGS (Asia) Ltd.,"Geotechnical Investigation, Topographic, Met-ocean observations including baseline data collection for EIA / EMP studies & Geophysical Survey for Construction of new Wharf at ND (Mumbai) and Jetty at Karanja",Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2019,,"Geotechnical Investigation, Topographic, Met-ocean observations including baseline data collection for EIA / EMP studies & Geophysical Survey for Construction of new Wharf at ND (Mumbai) and Jetty at Karanja",18.922,72.819
Tata Consulting Engineers Limited.,Topographic Survey AND Geotechnical Investigation,Not specified,India,Engineering & Construction,Asia,Topographic Survey AND Geotechnical Investigation,Topographic Survey; Geotechnical Services,01-07-2019,,Topographic Survey AND Geotechnical Investigation,19.076,72.8777
